customer_id,start_date,end_date,plan,monthly_price
C001,2024-01-02,2024-03-31,basic,30
C001,2024-04-01,,pro,50
C002,2024-01-11,2024-02-10,basic,25
C002,2024-02-25,,basic,25
C003,2024-01-27,2024-02-28,baisc,30
C004,2024-02-05,2024-04-01,pro,55
C004,2024-03-15,2024-05-01,pro,55
C005,2024-02-28,2024-02-30,basic,20
C006,2024-03-03,2024-03-20,basic,20
C006,2024-04-01,,basic,20
C007,2024-03-15,2024-04-15,pro,60
C008,2024-03-22,,basic,30
C009,2024-04-10,,basic,25
C010,2024-04-18,2024-04-25,basic,20
C010,2024-05-01,,basic,20
C011,2024-04-25,,pro,50
C012,2024-05-02,2024-06-02,basic,30
C012,2024-06-15,,basic,30
C013,2024-05-09,,basic,25
C014,2024-05-20,2024-06-01,basic,20
C014,2024-06-05,,basic,20
C015,2024-06-01,2024-06-10,basic,15
C015,2024-06-15,,basic,15
C016,2024-06-12,,pro,60
C017,2024-06-18,2024-07-15,basic,25
C017,2024-07-01,2024-08-01,basic,25
C018,2024-07-01,,basic,20
C019,2024-07-15,,basic,30
C020,2024-07-21, ,basic,22
C021,2024-08-02,,basic,"thirty"
C022,2024-08-10,,basic,25
C023,2024-08-19,2024-09-10,basic,20
C023,2024-09-20,,basic,20
C024,2024-09-01,,pro,55
C025,2024-09-12,,basic,25
C026,2024-09-29,2024-08-20,basic,20
C027,2024-10-03,,basic,25
C028," 2024-10-14 ",,basic,30
C029,2024-10-21,2024-11-01,basic,22
C029,2024-11-05,,basic,22
C030,2024-10-30,,basic,25
C031,2024-11-02,2024-11-02,basic,10
C031,2024-11-03,,basic,10
C032,2024-11-11,,pro,50
C033,2024-11-25,,basic,25
C034,2024-12-01,,basic,20
C035,2024-12-09,,basic,22
C036,2024-12-18,,basic,30
C037,2024-12-21,,pro,55
C038,2024-12-28,,basic,25
C038,2024-12-29,,basic,25
C039,2024-12-30,,basic,20
C999,2024-10-01,,basic,15
C050,2024-09-01,,basic,25
